"sample"	"env"	"dataset"
"Stool..158458797"	"Stool"	"HMP"
"Stool..763961826"	"Stool"	"HMP"
"Stool..763577454"	"Stool"	"HMP"
"Stool..763496533"	"Stool"	"HMP"
"Stool..763759525"	"Stool"	"HMP"
"Stool..159733294"	"Stool"	"HMP"
"Stool..764062976"	"Stool"	"HMP"
"Stool..765034022"	"Stool"	"HMP"
"Stool..508703490"	"Stool"	"HMP"
"Stool..159166850"	"Stool"	"HMP"
"Stool..765074482"	"Stool"	"HMP"
"Stool..823052294"	"Stool"	"HMP"
"Stool..764588959"	"Stool"	"HMP"
"Stool..763840445"	"Stool"	"HMP"
"Stool..763901136"	"Stool"	"HMP"
"Stool..764224817"	"Stool"	"HMP"
"Stool..764447348"	"Stool"	"HMP"
"Stool..763435843"	"Stool"	"HMP"
"Stool..338793263"	"Stool"	"HMP"
"Stool..764508039"	"Stool"	"HMP"
"Stool..764487809"	"Stool"	"HMP"
"Stool..765701615"	"Stool"	"HMP"
"Stool..764285508"	"Stool"	"HMP"
